"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Gene62",0.980446231328984,0.995771898135978,0.17683325892391,1,0.750632911715835,0.927527843411844,0.759649846627769,0.934098934011819,1,0.989013268481719,0.900980661765275,0.843999631306201
"Gene63",0.787881087975504,1,0.959561101902579,0.843157838944859,1,0.907476365327641,1,0.702828903366789,0.844210601472519,0.475984302115048,0.964491190955566,0.974019503158212
"Gene64",1,0.951089996423048,0.765958961371282,0.911145278244533,0.849157854538454,1,1,1,0.794975407582225,0.161760259481554,1,1
"Gene65",1,0.865542553604495,0.948044064497038,0.753658786409962,0.915939974704331,1,0.972325396100042,1,0.620597136406265,0.306950612041722,0.955476404454521,0.921708124494175
"Gene66",0.897989160664257,0.832599524291017,0.648800151918392,1,0.961149219557278,0.944709531490222,0.636996453410075,0.0346114174671093,0.751649130562378,0.669394948410304,0.92957833138221,0.903404235427882
"Gene67",0.665465524807663,0.741963090691103,1,0.981377792010261,0.90054116355465,0.659210031911791,0.989482095414397,0.958802561780258,0.851846223118841,0.547078585093907,0.710969009159779,0.709927327135134
"Gene68",0.943117274183518,0.972649358108763,0.890772748838968,0.437697157296775,1,0.529475070160057,0.720218411559695,0.632419465695053,0.939262215837267,1,0.552318131995292,1
"Gene69",1,0.700472698747635,0.788810054624261,0.770086185402759,1,1,1,0.894676453585159,0.991350217940847,0.946282622330555,0.883578305036502,0.995321639426512
"Gene70",0.757648396988667,0.847459037324011,0.911514959175677,0.817083733326218,0.941483553147148,0.990654166457613,1,1,0.987456597418875,0.677895510729259,0.982394207869367,0.913759609406345
"Gene71",0.765816613344091,0.963048643809805,0.86299500201283,0.168926882287481,0.991402544760226,1,0.885667503795329,0.870519873734035,1,0.909666561102486,0.7937445154493,0.826154139561418
"Gene72",0.96898282736981,0.960697590086967,1,0.971765834856765,0.410768406706246,0.88166354775772,0.804542338489718,0.9172354752987,0.937959932965588,1,1,0.98131988598421
"Gene73",1,1,0.990654166457613,0.647446202154069,0.964172917796221,1,0.745916016742813,0.963640577273442,0.816893463851743,0.0957181640216599,1,1
"Gene74",0.911140498936242,0.981625551216051,0.854578353091898,0.913040587287703,1,0.657997279625645,0.937959932965588,1,0.808581836091472,0.903719019693171,0.80700709421286,0.752708029485086
"Gene75",1,1,0.999106787771822,0.929836853351802,1,0.924813592616515,0.913704780668782,1,1,1,0.547078585093907,0.181458751771437
"Gene76",0.819755952840647,0.850692460853317,0.75384605083608,0.953349465811472,0.378824590921466,0.515648156063761,1,0.997756008954176,1,1,0.954317955921252,0.863697315785968
"Gene77",0.89607054803034,0.95485242644824,0.973121980377501,0.96742469498136,1,0.849157854538454,0.736769767437822,0.815286254989707,0.97117491696773,1,1,1
"Gene78",0.858491474503898,0.576873002053473,0.996246770333668,0.966922405541632,0.426883107553956,0.777009181929413,1,0.991325394034307,1,1,0.925990440549106,0.990428357461322
"Gene79",1,0.975645052816963,0.994986774264777,0.841354810235092,0.978851359421048,0.991452886537064,1,1,0.883578305036502,0.575489295852556,0.950670359192325,1
"Gene80",0.903719019693171,0.992463091902086,0.703925426278866,0.657823778970215,0.920925829176985,0.850291419947437,1,0.816295198567626,0.94497921671166,1,1,0.969800321670402
"Gene81",0.800845066548508,0.679726582502486,0.793178735712754,0.848918393837738,0.673700556974148,0.728246875130394,0.82886456506169,0.56648432138476,0.752837812202181,0.868475544253958,0.845439164513231,1
"Gene82",0.833639132756885,0.936629409240727,0.823034238787822,0.941240303202953,0.870122749273588,0.999166724001873,0.804283833808739,0.431600544029315,1,0.983785168391016,0.937655673846943,0.824980636054672
"Gene83",1,1,0.881547561275836,0.412362480155216,0.93401434018365,0.8732656415018,0.918474741242719,1,1,0.973040341627294,0.986241650743066,0.964491190955566
"Gene84",1,0.98286349102959,1,1,0.851205751700819,0.848722464488739,0.893566911472903,1,0.987790625398931,1,0.987647479530129,0.807962350195449
"Gene85",1,0.977702931180496,0.932037115083621,1,0.941512020941967,1,1,1,0.9826619146556,0.897989160664257,1,1
"Gene86",0.750285747234478,1,1,0.962760411401629,1,0.542647291709008,0.678789303253133,0.835663310482414,1,0.906947912160837,0.680684230813789,0.990134709018278
"Gene87",0.947624975332627,1,0.960545413425848,0.954174767803581,0.9646003250288,0.823587378564167,0.904461054882172,1,0.829783622464991,0.79003413714726,0.994584804172628,0.916037539605655
