"","l","BF","PPI","pval","time"
"Gene5522",0,0,0,0.99,13.3257493
"Gene5523",0,0,0,0.99,13.3257493
"Gene5524",0,0,0,0.99,13.3257493
"Gene5525",0,0,0,0.99,13.3257493
"Gene5526",0,0,0,0.99,13.3257493
"Gene5527",0.0276775540925739,1.26491487444959,0.02,0.111712268949687,13.3257493
"Gene5528",0,0,0,0.99,13.3257493
"Gene5529",0,0,0,0.99,13.3257493
"Gene5530",0,0,0,0.99,13.3257493
"Gene5531",0,0.0726533012578102,0,0.703061503459038,13.3257493
"Gene5532",0,0.0492007694122151,0,0.753756347956401,13.3257493
"Gene5533",0,0,0,0.99,13.3257493
"Gene5534",0,0,0,0.99,13.3257493
"Gene5535",0,0.37708542181025,0,0.38515892128721,13.3257493
"Gene5536",0,0.332724012855567,0.12,0.414643148458738,13.3257493
"Gene5537",0,0.064979269849249,0,0.718475030235995,13.3257493
"Gene5538",0,0.0814439321237785,0,0.686511528694575,13.3257493
"Gene5539",0,0,0,0.99,13.3257493
"Gene5540",0,0,0,0.99,13.3257493
"Gene5541",0,0.113598730950173,0,0.633609699683122,13.3257493
"Gene5542",0,0,0,0.99,13.3257493
"Gene5543",0,0.0357776459362299,0,0.789085592880246,13.3257493
"Gene5544",0,0,0,0.99,13.3257493
"Gene5545",0,0,0,0.99,13.3257493
"Gene5546",0,0.100735488957758,0,0.65353612575499,13.3257493
"Gene5547",0,0.100530323560486,0,0.653866080911907,13.3257493
"Gene5548",0,0,0,0.99,13.3257493
"Gene5549",0,0,0,0.99,13.3257493
"Gene5550",0,0.695546740908748,0,0.238220523526954,13.3257493
"Gene5551",0,0,0,0.99,13.3257493
"Gene5552",0,0,0,0.99,13.3257493
"Gene5553",0,0.10932879247963,0,0.640064680342224,13.3257493
"Gene5554",0,0,0,0.99,13.3257493
"Gene5555",0,0.128784044780707,0,0.611795854085644,13.3257493
"Gene5556",0,0,0,0.99,13.3257493
"Gene5557",0.028502999654888,0.491137821796758,0.24,0.321637631473035,13.3257493
"Gene5558",0.0548768845187329,2.87076205946479,0.12,0.0165684093901854,13.3257493
"Gene5559",0,0.180279131895918,0,0.548196353467922,13.3257493
"Gene5560",0,0,0,0.99,13.3257493
"Gene5561",0,0,0,0.99,13.3257493
"Gene5562",0,0,0,0.99,13.3257493
"Gene5563",0,0,0,0.99,13.3257493
"Gene5564",0,0,0,0.99,13.3257493
"Gene5565",0,0,0,0.99,13.3257493
"Gene5566",0,0.457506683009626,0,0.338787715092471,13.3257493
"Gene5567",0,0,0,0.99,13.3257493
"Gene5568",0,0,0,0.99,13.3257493
"Gene5569",0,0,0,0.99,13.3257493
"Gene5570",0,0.479507593422431,0,0.327435125528514,13.3257493
"Gene5571",0,0.1212003885493,0,0.622477498912117,13.3257493
"Gene5572",0,0,0,0.99,13.3257493
"Gene5573",0,0,0,0.99,13.3257493
"Gene5574",0,0,0,0.99,13.3257493
"Gene5575",0,0,0,0.99,13.3257493
"Gene5576",0,0.0145669226946382,0,0.86447036116672,13.3257493
"Gene5577",0,0,0,0.99,13.3257493
"Gene5578",0,0,0,0.99,13.3257493
"Gene5579",0,0,0,0.99,13.3257493
"Gene5580",0.0607677981892272,0.879607975472396,0.12,0.184722340955824,13.3257493
"Gene5581",0,0,0,0.99,13.3257493
"Gene5582",0,0,0,0.99,13.3257493
"Gene5583",0,0,0,0.99,13.3257493
"Gene5584",0,0,0,0.99,13.3257493
"Gene5585",0,0.463539242258395,0,0.335623231482631,13.3257493
"Gene5586",0,0,0,0.99,13.3257493
"Gene5587",0,0,0,0.99,13.3257493
"Gene5588",0,0,0,0.99,13.3257493
"Gene5589",0,0,0,0.99,13.3257493
"Gene5590",0,0,0,0.99,13.3257493
"Gene5591",0,0,0,0.99,13.3257493
"Gene5592",0,0.0970985448132751,0,0.659446133959133,13.3257493
"Gene5593",0,0.516758524639096,0,0.309334043060875,13.3257493
"Gene5594",0,0.15387619888993,0,0.57906268989711,13.3257493
"Gene5595",0.0367824517044036,0.722036947006563,0.1,0.229481231881074,13.3257493
"Gene5596",0.0709284451003478,0.34487783737913,0.1,0.406247497212009,13.3257493
"Gene5597",0,0,0,0.99,13.3257493
"Gene5598",0,0.103076950879949,0,0.649798784576603,13.3257493
"Gene5599",0,0,0,0.99,13.3257493
