"","combined_pvalue","adjusted_pvalue"
"Gene223",2.79389573698552e-08,9.2230407936347e-05
"Gene224",7.91491209894968e-06,0.00737790870804196
"Gene225",4.75161132662549e-08,0.000145334061566927
"Gene226",4.70099118410339e-07,0.000842998705403772
"Gene227",0.000644705176778837,0.223763130486156
"Gene228",0.000981252158483548,0.305596159813269
"Gene229",0.00155053450732257,0.433600597227584
"Gene230",0.0237013022004222,1
"Gene231",0.0172630074664748,1
"Gene232",1.76638842881438e-05,0.0127229611119165
"Gene233",0.000144560030346352,0.0655044734068851
"Gene234",1.31405336439849e-05,0.0102891493128569
"Gene235",1.03726953626371e-06,0.00139073774988214
"Gene236",0.000858364050853933,0.275453415254474
"Gene237",0.00630171897121756,1
"Gene238",2.2862932318457e-06,0.0027289435897781
"Gene239",1.67061263711688e-08,6.28896089651429e-05
"Gene240",4.22403626896273e-05,0.0243195311073941
"Gene241",0.137237435205685,1
"Gene242",0.000242308818540815,0.101351421151148
"Gene243",8.29382513023447e-06,0.00751636045431291
"Gene244",0.00142831822170919,0.409889419492346
"Gene245",2.40021802433432e-08,8.39013872242755e-05
"Gene246",0.000313334810124966,0.125175415464569
"Gene247",1.93793312938118e-05,0.0136458460392673
"Gene248",1.96607982764219e-05,0.0137451534202684
"Gene249",7.17591086007996e-06,0.00688578318119951
"Gene250",0.000280888757114184,0.114551187274491
"Gene251",0.000271249495904069,0.111082979221116
"Gene252",2.66666726367326e-07,0.000543756012626049
"Gene253",0.187508990329543,1
"Gene254",0.00191174756341139,0.501646970269128
"Gene255",0.00040289361977297,0.151961043379456
"Gene256",0.000105058934126934,0.0495962190700346
"Gene257",0.0117474057690233,1
"Gene258",0.00017798254510315,0.0777688853911667
"Gene259",0.00382990891981139,0.879944592982304
"Gene260",7.26610452694842e-07,0.00114706078268532
"Gene261",7.98217559827563e-05,0.0406908281596087
"Gene262",7.20316045477176e-07,0.00114706078268532
"Gene263",0.00860783440872681,1
"Gene264",0.000629213010144181,0.219946037715887
"Gene265",3.57328600069096e-05,0.0215850982349008
"Gene266",1.16051301901621e-08,4.7327684290963e-05
"Gene267",7.59307870112913e-06,0.00714596758916649
"Gene268",3.97416352493352e-07,0.000777950938097334
"Gene269",2.41552400783718e-05,0.0161932858625461
"Gene270",0.000284464570613707,0.115050708610723
"Gene271",0.00241404785019661,0.601214995162451
"Gene272",8.96881180900699e-06,0.00776842447769761
"Gene273",0.000138440953257879,0.063023512081049
"Gene274",0.0316014954382593,1
"Gene275",0.00105395087234861,0.32036198508986
"Gene276",0.000722453821672353,0.24467451161812
"Gene277",0.0497127148224137,1
"Gene278",0.0139972875123953,1
"Gene279",0.015802326825571,1
"Gene280",9.39218799125285e-05,0.0461944903893719
"Gene281",1.1747909302029e-05,0.00934828520288135
"Gene282",0.0758978281972775,1
"Gene283",1.58523433777535e-05,0.011754279676481
"Gene284",7.48197500177739e-07,0.00116239085220523
"Gene285",2.10260139369423e-05,0.0143912126519699
"Gene286",0.000250405275410426,0.103850346824764
"Gene287",0.00126408655744714,0.369324812529917
"Gene288",2.44177308375004e-05,0.0162578999817433
"Gene289",0.00435953293024527,0.974187005077691
"Gene290",0.000105398741311991,0.0495962190700346
"Gene291",0.0211491476331039,1
"Gene292",1.50457814428462e-05,0.011327860097462
"Gene293",3.95950986387117e-06,0.00421240463515247
"Gene294",2.28486118913906e-11,3.72722019439018e-07
"Gene295",3.54748863190535e-05,0.0215850982349008
"Gene296",3.90278916418962e-05,0.0228736304076832
"Gene297",7.80955379737769e-05,0.0402299136242248
"Gene298",8.53909142556342e-05,0.0426414606016221
"Gene299",0.0023021770456122,0.576286494825493
"Gene300",7.05390979560683e-06,0.00683573169239544
"Gene301",4.73710615511713e-07,0.000842998705403772
"Gene302",0.000147617220497942,0.0665815298787904
"Gene303",0.00279130539356276,0.676242512833616
"Gene304",0.000124391891134112,0.0574291898348686
"Gene305",0.00179211318920225,0.483869400991712
"Gene306",0.0567936670550537,1
"Gene307",2.29783431504593e-07,0.000499784378039411
"Gene308",9.26857528649183e-06,0.00795764591399993
"Gene309",0.000341448746610906,0.134779152682893
"Gene310",0.000731277963711086,0.246808986608444
"Gene311",0.00011436642001228,0.0533034982301417
"Gene312",0.00250275465339322,0.618585266471962
"Gene313",0.000710928744334982,0.242449145270053
"Gene314",0.000332088927033958,0.132128275883783
"Gene315",1.23381861238947e-05,0.00973881491774765
"Gene316",0.000523318945172102,0.18970517283492
"Gene317",3.81169661489711e-06,0.00409971261489416
"Gene318",0.299371001049178,1
"Gene319",6.56245464780714e-06,0.00648795158809542
"Gene320",0.0229073087702876,1
"Gene321",2.96620791595537e-07,0.000592491316374844
"Gene322",8.99775226326227e-07,0.00127632542554692
"Gene323",0.000686467330559548,0.236579992539856
"Gene324",0.018279634982634,1
"Gene325",0.000722447486076305,0.24467451161812
"Gene326",2.6022864965114e-06,0.0029849402528367
"Gene327",8.72407712293466e-07,0.0012742365164544
"Gene328",1.48867740357161e-09,8.43494754943418e-06
"Gene329",0.00119472631389939,0.35434880246493
"Gene330",1.65467522705853e-06,0.00206393165634623
"Gene331",0.000395278709287239,0.149954739571303
"Gene332",5.3789360510148e-06,0.00554177968004308
"Gene333",8.85283723106589e-07,0.0012742365164544
"Gene334",1.10428389765715e-07,0.000277135788261943
"Gene335",0.163605925054468,1
"Gene336",0.00016473300872355,0.0729566421049036
"Gene337",0.00116155998244127,0.348739002925455
"Gene338",0.00605451890308517,1
"Gene339",8.58333603892536e-06,0.00762976806168895
"Gene340",0.000313128635886617,0.125175415464569
"Gene341",0.00145497338815515,0.411581107404371
"Gene342",1.03154495656455e-06,0.00139073774988214
"Gene343",0.00020141243421512,0.0860849588147731
"Gene344",3.58815260977918e-05,0.0215850982349008
"Gene345",1.70930603005104e-10,1.40774724459416e-06
"Gene346",1.81686868439002e-07,0.000423399878619898
"Gene347",8.76197084165309e-06,0.00765702845512577
"Gene348",0.00204563477021125,0.528439936567962
"Gene349",0.00336641107099667,0.790146410510638
"Gene350",0.0518579445982983,1
"Gene351",0.000649335439038223,0.224573832598871
"Gene352",3.61677421167883e-05,0.0215850982349008
"Gene353",2.1316282072803e-14,2.08635371081791e-09
"Gene354",2.97496638481665e-05,0.0190312411405624
"Gene355",2.63381234510973e-06,0.0029849402528367
"Gene356",9.51612771915578e-08,0.000252884161468656
"Gene357",0.00190286471006895,0.501646970269128
"Gene358",7.56469425250428e-05,0.0393831101737453
"Gene359",1.93352337853891e-05,0.0136458460392673
