"","l","BF","PPI","pval","time"
"Gene1443",0,0,0,0.99,13.372066
"Gene1444",0,0.38033748065489,0,0.383117377757374,13.372066
"Gene1445",0,0,0,0.99,13.372066
"Gene1446",0,0,0,0.99,13.372066
"Gene1447",0,0,0,0.99,13.372066
"Gene1448",0,0,0,0.99,13.372066
"Gene1449",0,0,0,0.99,13.372066
"Gene1450",0,0,0,0.99,13.372066
"Gene1451",0,0,0,0.99,13.372066
"Gene1452",0,0.158964687269253,0,0.572854680188231,13.372066
"Gene1453",0.0286916151106352,0.654403168052056,0.12,0.252610888458829,13.372066
"Gene1454",0,0,0,0.99,13.372066
"Gene1455",0,0.229829985715702,0,0.497782928846491,13.372066
"Gene1456",0,0,0,0.99,13.372066
"Gene1457",0,0,0,0.99,13.372066
"Gene1458",0,0,0,0.99,13.372066
"Gene1459",0,0,0,0.99,13.372066
"Gene1460",0,0.375610002259754,0,0.386090244817074,13.372066
"Gene1461",0,0,0,0.99,13.372066
"Gene1462",0.0715548602132053,0.159577547827843,0.04,0.572115844431186,13.372066
"Gene1463",0,0.193605904051708,0,0.533768646820226,13.372066
"Gene1464",0,0,0,0.99,13.372066
"Gene1465",0,0.24717562073464,0,0.48199270919133,13.372066
"Gene1466",0,0,0,0.99,13.372066
"Gene1467",0,0.0350162208838697,0,0.791289550810604,13.372066
"Gene1468",0,0.0395311544207857,0,0.778572184984402,13.372066
"Gene1469",0,0.208026148782398,0,0.518913472930203,13.372066
"Gene1470",0,0.136011461755453,0,0.601977995020265,13.372066
"Gene1471",0,0,0,0.99,13.372066
"Gene1472",0,0.302493790817141,0,0.436681340481128,13.372066
"Gene1473",0,0,0,0.99,13.372066
"Gene1474",0,0.212947408362282,0,0.514010205065155,13.372066
"Gene1475",0,0,0,0.99,13.372066
"Gene1476",0,0,0,0.99,13.372066
"Gene1477",0,0,0,0.99,13.372066
"Gene1478",0,0,0,0.99,13.372066
"Gene1479",0.0400890228130587,0.451628920783611,0.06,0.34190966351342,13.372066
"Gene1480",0,0,0,0.99,13.372066
"Gene1481",0,0.25909405434644,0,0.471615608237741,13.372066
"Gene1482",0,0.186037194160332,0,0.541875714393017,13.372066
"Gene1483",0,0.666312555844405,0,0.248338744130196,13.372066
"Gene1484",0,0.620611606514592,0,0.265235441019637,13.372066
"Gene1485",0,0,0,0.99,13.372066
"Gene1486",0,0,0,0.99,13.372066
"Gene1487",0,0,0,0.99,13.372066
"Gene1488",0,0,0,0.99,13.372066
"Gene1489",0,0.128811474252905,0,0.611757944223524,13.372066
"Gene1490",0,0,0,0.99,13.372066
"Gene1491",0,0,0,0.99,13.372066
"Gene1492",0,0,0,0.99,13.372066
"Gene1493",0,0,0,0.99,13.372066
"Gene1494",0,0,0,0.99,13.372066
"Gene1495",0,0.347954240574512,0,0.404161928593045,13.372066
"Gene1496",0,0,0,0.99,13.372066
"Gene1497",0,0.0791771750668659,0.28,0.690676167710683,13.372066
