"","Emark","markcorr","markvario","Vmark"
"Gene30",0.738647905009879,0.413912995488348,0.421330561914526,0.601847672354127
"Gene31",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene32",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene33",0.666838139331066,0.442433828490526,0.421330561914526,0.527009222661397
"Gene34",0.524072391866396,0.493052884852429,0.4477728895904,0.511012315396801
"Gene35",0.539519827353655,0.413912995488348,0.495687518588282,0.601847672354127
"Gene36",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene37",0.561722015009212,0.442433828490526,0.421330561914526,0.527009222661397
"Gene38",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene39",0.524072391866396,0.413912995488348,0.495687518588282,0.511012315396801
"Gene40",0.561722015009212,0.413912995488348,0.421330561914526,0.558066856409398
"Gene41",0.607681088964511,0.641624961044199,0.4477728895904,0.527009222661397
"Gene42",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene43",0.524072391866396,0.561398255922752,0.4477728895904,0.511012315396801
"Gene44",0.561722015009212,0.442433828490526,0.495687518588282,0.511012315396801
"Gene45",0.524072391866396,0.442433828490526,0.64233737394129,0.511012315396801
"Gene46",0.666838139331066,0.413912995488348,0.4477728895904,0.737524315254769
"Gene47",0.524072391866396,0.442433828490526,0.4477728895904,0.511012315396801
"Gene48",0.666838139331066,0.442433828490526,0.4477728895904,0.601847672354127
"Gene49",0.561722015009212,0.442433828490526,0.4477728895904,0.601847672354127
"Gene50",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene51",0.607681088964511,0.413912995488348,0.421330561914526,0.527009222661397
"Gene52",0.607681088964511,0.413912995488348,0.421330561914526,0.527009222661397
"Gene53",0.524072391866396,0.413912995488348,0.421330561914526,0.664887301602378
"Gene54",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene55",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene56",0.561722015009212,0.493052884852429,0.4477728895904,0.511012315396801
"Gene57",0.738647905009879,0.493052884852429,0.4477728895904,0.821302768702889
"Gene58",0.561722015009212,0.413912995488348,0.421330561914526,0.511012315396801
"Gene59",0.561722015009212,0.728730187648023,0.421330561914526,0.558066856409398
"Gene60",0.524072391866396,0.442433828490526,0.421330561914526,0.511012315396801
"Gene61",0.524072391866396,0.442433828490526,0.421330561914526,0.527009222661397
"Gene62",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene63",0.539519827353655,0.413912995488348,0.421330561914526,0.601847672354127
"Gene64",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene65",0.524072391866396,0.413912995488348,0.421330561914526,0.601847672354127
"Gene66",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene67",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene68",0.666838139331066,0.413912995488348,0.421330561914526,0.527009222661397
"Gene69",0.524072391866396,0.442433828490526,0.495687518588282,0.511012315396801
"Gene70",0.524072391866396,0.493052884852429,0.4477728895904,0.601847672354127
"Gene71",0.666838139331066,0.561398255922752,0.4477728895904,0.601847672354127
"Gene72",0.666838139331066,0.442433828490526,0.421330561914526,0.558066856409398
"Gene73",0.524072391866396,0.413912995488348,0.4477728895904,0.737524315254769
"Gene74",0.524072391866396,0.442433828490526,0.4477728895904,0.527009222661397
"Gene75",0.524072391866396,0.442433828490526,0.4477728895904,0.558066856409398
"Gene76",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene77",0.561722015009212,0.561398255922752,0.495687518588282,0.601847672354127
"Gene78",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene79",0.561722015009212,0.442433828490526,0.421330561914526,0.511012315396801
"Gene80",0.524072391866396,0.413912995488348,0.563777307963354,0.527009222661397
"Gene81",0.539519827353655,0.493052884852429,0.64233737394129,0.511012315396801
"Gene82",0.539519827353655,0.442433828490526,0.4477728895904,0.527009222661397
"Gene83",0.666838139331066,0.413912995488348,0.421330561914526,0.527009222661397
"Gene84",0.561722015009212,0.413912995488348,0.421330561914526,0.527009222661397
"Gene85",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene86",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene87",0.539519827353655,0.413912995488348,0.4477728895904,0.737524315254769
"Gene88",0.561722015009212,0.413912995488348,0.421330561914526,0.737524315254769
"Gene89",0.666838139331066,0.442433828490526,0.4477728895904,0.558066856409398
"Gene90",0.607681088964511,0.413912995488348,0.421330561914526,0.601847672354127
"Gene91",0.524072391866396,0.413912995488348,0.421330561914526,0.527009222661397
"Gene92",0.539519827353655,0.413912995488348,0.421330561914526,0.511012315396801
"Gene93",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene94",0.738647905009879,0.413912995488348,0.421330561914526,0.527009222661397
"Gene95",0.607681088964511,0.413912995488348,0.421330561914526,0.737524315254769
