"","combinedPval","adjustedPval"
"Gene321",1.00283965769274e-18,5.45299971489894e-15
"Gene322",1.15241149956091e-13,4.42327441141543e-11
"Gene323",9.54791801177635e-15,4.86725312311037e-12
"Gene324",2.00490979374024e-09,3.97032584311651e-07
"Gene325",2.30615526675138e-12,6.49487505762282e-10
"Gene326",7.85129971041788e-17,1.21976870534095e-13
"Gene327",3.2786108927283e-20,3.56552797372315e-16
"Gene328",1.11022302462516e-15,9.13145006485431e-13
"Gene329",7.5914829977819e-12,1.92993363147061e-09
"Gene330",9.54791801177635e-15,4.86725312311037e-12
"Gene331",1.77635683940025e-15,1.25081157722896e-12
"Gene332",2.35367281220533e-14,1.05673496438598e-11
"Gene333",1.13284466372487e-17,3.07995479682616e-14
"Gene334",7.21644966006352e-15,3.88086627756308e-12
"Gene335",9.89275328322492e-12,2.44511039767652e-09
"Gene336",1.25122134875255e-12,3.76814203860864e-10
"Gene337",5.21915843876286e-13,1.69711184844875e-10
"Gene338",1.10267350805771e-12,3.3726668385162e-10
"Gene339",3.33066907387547e-16,3.29285623550807e-13
"Gene340",1.1269651878365e-11,2.75657641356183e-09
"Gene341",4.24771329221585e-13,1.42379946089992e-10
"Gene342",4.02941784262187e-19,3.03371956909159e-15
"Gene343",1.4210854715202e-14,6.81814938175789e-12
"Gene344",5.6621374255883e-15,3.20339713546826e-12
"Gene345",4.7869735141358e-22,2.342650543067e-17
"Gene346",1.77635683940025e-15,1.25081157722896e-12
"Gene347",1.11022302462516e-14,5.51595206963281e-12
"Gene348",4.45199432874688e-14,1.83858086769951e-11
"Gene349",1.37054811943926e-11,3.29591770184595e-09
"Gene350",5.62061508446732e-12,1.47486236265454e-09
"Gene351",9.54791801177635e-15,4.86725312311037e-12
"Gene352",7.7715611723761e-16,6.67236658247688e-13
"Gene353",5.37120634804064e-21,1.05142503345845e-16
"Gene354",4.14113188185183e-14,1.73212681208841e-11
"Gene355",1.09548536861105e-16,1.51016608538251e-13
"Gene356",3.33066907387547e-16,3.29285623550807e-13
"Gene357",2.66453525910038e-14,1.16948077960645e-11
"Gene358",3.39442363200055e-19,2.76860676912169e-15
"Gene359",1.02791475787645e-16,1.43726066981866e-13
"Gene360",3.71924713249427e-13,1.26397658623409e-10
