"","l","BF","PPI","pval","time"
"Gene6235",0.0226707716231847,1.33800966076111,0.02,0.101870082469497,13.3916091
"Gene6236",0,0,0,0.99,13.3916091
"Gene6237",0,0,0,0.99,13.3916091
"Gene6238",0,0,0,0.99,13.3916091
"Gene6239",0,0.0562507883172827,0,0.737313904521128,13.3916091
"Gene6240",0,0,0,0.99,13.3916091
"Gene6241",0,0.430391255607742,0,0.353519804021381,13.3916091
"Gene6242",0,0,0,0.99,13.3916091
"Gene6243",0,0.23318700786225,0,0.494660037470461,13.3916091
"Gene6244",0,0,0,0.99,13.3916091
"Gene6245",0,0,0,0.99,13.3916091
"Gene6246",0,0,0,0.99,13.3916091
"Gene6247",0,0,0,0.99,13.3916091
"Gene6248",0,0.0363850666779911,0,0.787345360046297,13.3916091
"Gene6249",0,0,0,0.99,13.3916091
"Gene6250",0,0,0,0.99,13.3916091
"Gene6251",0.0504664466672516,0.683713867528189,0.32,0.24225432648464,13.3916091
"Gene6252",0,0.46924752690756,0,0.332665176051955,13.3916091
"Gene6253",0,0,0,0.99,13.3916091
"Gene6254",0,0,0,0.99,13.3916091
"Gene6255",0,0.354922003217962,0,0.399495602838986,13.3916091
"Gene6256",0,0,0,0.99,13.3916091
"Gene6257",0,0.0620513319613224,0,0.724626725908443,13.3916091
"Gene6258",0,0.426019355533066,0,0.35597623539568,13.3916091
"Gene6259",0,0,0,0.99,13.3916091
"Gene6260",0,0,0,0.99,13.3916091
"Gene6261",0,0,0,0.99,13.3916091
"Gene6262",0,0,0,0.99,13.3916091
"Gene6263",0,0,0,0.99,13.3916091
"Gene6264",0,0.070057406595771,0,0.708166899126975,13.3916091
"Gene6265",0,0,0,0.99,13.3916091
"Gene6266",0,0.0701847545250814,0,0.707913946320462,13.3916091
"Gene6267",0,0.239659363366428,0,0.488731067557347,13.3916091
"Gene6268",0,0,0,0.99,13.3916091
"Gene6269",0,0,0,0.99,13.3916091
"Gene6270",0,0,0,0.99,13.3916091
"Gene6271",0,0.114340250202076,0,0.632503948170759,13.3916091
"Gene6272",0,0,0,0.99,13.3916091
"Gene6273",0,0,0,0.99,13.3916091
"Gene6274",0,0,0,0.99,13.3916091
"Gene6275",0,0.0350456206254648,0,0.791203979324354,13.3916091
"Gene6276",0,0,0,0.99,13.3916091
"Gene6277",0,0,0,0.99,13.3916091
"Gene6278",0,0,0,0.99,13.3916091
"Gene6279",0,0,0,0.99,13.3916091
"Gene6280",0,0,0,0.99,13.3916091
"Gene6281",0,0,0,0.99,13.3916091
"Gene6282",0,0,0,0.99,13.3916091
"Gene6283",0,0,0,0.99,13.3916091
"Gene6284",0,0.124062172178941,0,0.618398891659678,13.3916091
