"","combinedPval","adjustedPval"
"Gene169",0.00268410648527295,0.377999666714294
"Gene170",0.000116315711435444,0.0190695537576608
"Gene171",0.0910401061890046,1
"Gene172",3.49903393699336e-05,0.0060507359862262
"Gene173",0.0303528547214138,1
"Gene174",0.00565211447176672,0.745561586526655
"Gene175",0.000184693512521816,0.0298794601318474
"Gene176",0.000185303851324425,0.029928730919558
"Gene177",0.00422039246631833,0.571335252805167
"Gene178",2.63587012634403e-05,0.00460232794378667
"Gene179",3.98576727178579e-10,7.99408192778663e-08
"Gene180",0.00131502692184371,0.192391112672621
"Gene181",2.32584616224329e-05,0.00407235526591827
"Gene182",0.114379227119535,1
"Gene183",0.00266455243607122,0.375786592314805
"Gene184",0.000146271799163267,0.023860845739891
"Gene185",0.0157388989787859,1
"Gene186",0.00179309700292118,0.258851431401246
"Gene187",0.0403935420099855,1
"Gene188",0.000306574487593303,0.048371133265921
"Gene189",0.000280509448646882,0.0447881887886411
"Gene190",0.00036513826126372,0.0566375507121321
"Gene191",0.000367679983901192,0.0569415637620888
"Gene192",7.06042255771422e-08,1.33664670102336e-05
"Gene193",0.00475560678964837,0.635874395073989
"Gene194",0.00578966030512917,0.759500477220441
"Gene195",0.00437686823979089,0.590069724555761
"Gene196",0.0992941007004964,1
"Gene197",4.6735429920064e-05,0.00796912850144159
"Gene198",2.6379341045768e-05,0.00460232794378667
"Gene199",0.00772176636462163,0.981527364666171
"Gene200",0.000618152620648793,0.0942404099853393
"Gene201",1.63460336965333e-19,3.80925090651367e-16
"Gene202",6.56801501218848e-19,1.0714190563021e-15
"Gene203",4.10782519111308e-15,1.55836335796719e-12
"Gene204",3.10829140204305e-10,6.31177005983847e-08
"Gene205",7.35756474732533e-17,4.83308356587307e-14
"Gene206",4.52970994047064e-14,1.39418290424153e-11
"Gene207",1.15862874849881e-12,2.8139458392907e-10
"Gene208",3.80362408236579e-13,9.84877619772676e-11
"Gene209",1.6290262472296e-09,3.21456998593935e-07
"Gene210",2.86282109129843e-12,6.54676752180086e-10
"Gene211",9.52571355128384e-13,2.35439220838827e-10
"Gene212",8.33777491493493e-14,2.41440402617149e-11
"Gene213",1.38955513762085e-12,3.32528563628222e-10
"Gene214",5.85087533977457e-14,1.75662769299757e-11
"Gene215",8.88178419700125e-16,4.08128660175648e-13
"Gene216",2.97539770599542e-14,9.3639937449625e-12
"Gene217",7.70821584607586e-21,3.592618092485e-17
"Gene218",7.7937656328686e-14,2.27708380751582e-11
"Gene219",4.23138619365382e-07,7.78480094921823e-05
"Gene220",1.74471978142477e-16,9.98633325373049e-14
"Gene221",8.90609808124054e-12,1.95009797175734e-09
"Gene222",8.71452304503483e-18,8.4449820155278e-15
"Gene223",5.5402460397147e-10,1.10891095254566e-07
"Gene224",3.15858450505857e-13,8.37804356831098e-11
"Gene225",1.17415982492375e-07,2.19317057055429e-05
"Gene226",1.11022302462516e-14,3.78621100250057e-12
"Gene227",4.51892761360627e-17,3.30070770055077e-14
"Gene228",6.85518308785049e-12,1.52299976984061e-09
"Gene229",1.77635683940025e-15,7.4940866049494e-13
"Gene230",5.55111512312578e-16,2.77204734111649e-13
"Gene231",2.72137867796118e-12,6.26724291171185e-10
"Gene232",4.84057238736568e-14,1.4759381780838e-11
"Gene233",2.41951420627991e-21,1.48070940582821e-17
"Gene234",1.77635683940025e-15,7.4940866049494e-13
"Gene235",9.23927601093055e-13,2.28937705451301e-10
"Gene236",7.087663789207e-12,1.56241578569134e-09
"Gene237",1.04360964314765e-13,2.93518392027185e-11
"Gene238",9.27693477592584e-11,1.92370726289919e-08
"Gene239",1.77635683940025e-15,7.4940866049494e-13
"Gene240",9.61934313135454e-20,2.47764054987441e-16
"Gene241",3.38395977905748e-11,7.13811749121431e-09
"Gene242",1.2481127242836e-12,3.00887577188718e-10
"Gene243",1.08091313677505e-12,2.64488798548479e-10
"Gene244",2.55351295663786e-15,1.03704476462682e-12
"Gene245",9.54791801177635e-15,3.33754499870425e-12
"Gene246",3.19411164184658e-12,7.27039683384585e-10
"Gene247",7.87148124459236e-14,2.28614116742381e-11
"Gene248",6.66133814775094e-16,3.11954801258659e-13
"Gene249",1.81508796881502e-09,3.57452031378781e-07
"Gene250",1.80966353013901e-14,5.94371600362346e-12
"Gene251",1.20792265079217e-13,3.35871336021823e-11
"Gene252",4.45199432874688e-14,1.37458569604032e-11
"Gene253",1.32338584535319e-13,3.65897719999846e-11
"Gene254",3.33066907387547e-15,1.31448696498104e-12
"Gene255",2.82940337825721e-12,6.48550013663575e-10
"Gene256",6.22597838601835e-18,6.55241114314786e-15
"Gene257",1.26210153439388e-12,3.03512348799371e-10
"Gene258",2.2565360691118e-09,4.42606934881574e-07
"Gene259",4.6074255521944e-14,1.41365724593364e-11
"Gene260",1.0325074129014e-14,3.55837175590643e-12
"Gene261",6.0063065632221e-14,1.78143522340987e-11
"Gene262",6.66133814775094e-16,3.11954801258659e-13
"Gene263",5.04533348433256e-09,9.79796358434726e-07
"Gene264",9.9164528442348e-17,6.26182798157304e-14
"Gene265",1.18793863634892e-14,4.03717894707604e-12
"Gene266",6.35842611023139e-17,4.29198412249951e-14
"Gene267",1.77635683940025e-15,7.4940866049494e-13
"Gene268",9.07329766874909e-12,1.98227372833652e-09
"Gene269",7.87148124459236e-14,2.28614116742381e-11
"Gene270",1.69642078162724e-13,4.65095189969913e-11
"Gene271",1.13020703906841e-13,3.16963359242573e-11
"Gene272",3.50282691741199e-10,7.09819666254252e-08
"Gene273",2.97539770599542e-14,9.3639937449625e-12
"Gene274",7.87903960753427e-17,5.07348260664047e-14
"Gene275",1.08312934177235e-08,2.09097500657748e-06
"Gene276",5.48012043997344e-19,9.75222907209713e-16
"Gene277",1.45763726052541e-17,1.26254683623731e-14
"Gene278",2.5602187037066e-11,5.43566421648425e-09
"Gene279",1.11022302462516e-15,5.03075258202622e-13
"Gene280",3.62341343394523e-20,1.10826697491146e-16
"Gene281",2.7437596639146e-10,5.58312653804276e-08
"Gene282",5.54202958414887e-17,3.85303527396633e-14
"Gene283",7.03607651288126e-19,1.11074749915398e-15
"Gene284",1.0369483049999e-13,2.92485345506714e-11
"Gene285",1.77635683940025e-15,7.4940866049494e-13
"Gene286",1.77635683940025e-15,7.4940866049494e-13
"Gene287",1.0325074129014e-14,3.55837175590643e-12
"Gene288",6.06868121820537e-18,6.45628923066696e-15
"Gene289",9.89989423771931e-10,1.96146284609924e-07
"Gene290",1.28563826251593e-13,3.56468011851857e-11
"Gene291",1.77635683940025e-15,7.4940866049494e-13
"Gene292",7.86619629088164e-20,2.19974943706695e-16
