"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Gene20",0.999772395355074,0.999772395355074,0.900536799918657,0.800606937218569,0.666841383405327,0.963301184410559,0.910015474736973,0.790866038904946,0.979374167598205,0.990781079444248,0.937586457943478,0.976654517198236
"Gene21",0.968568499891043,0.999772395355074,0.999368090341809,0.92045098646496,0.981751355037785,0.889488895077477,0.932457305398967,0.999772395355074,0.93788304709563,0.965036096409717,0.95612015988426,0.999772395355074
"Gene22",0.716744094758428,0.999772395355074,0.999772395355074,0.252512252092633,0.977078374717136,0.662259187296408,0.56152427526651,0.704878557266704,0.999772395355074,0.441929129818882,0.999772395355074,0.937258448296476
"Gene23",0.999772395355074,0.678564547942505,0.999772395355074,0.999772395355074,0.947621727221611,0.954206670413655,0.951514646666931,0.986631224080261,0.944712751035168,0.988597780460423,0.999772395355074,0.813508405909424
"Gene24",0.902522756702395,0.214364004455343,0.740542475477713,0.442538061480467,0.926810383230476,0.697487610745536,0.997216667833126,0.851366668179422,0.844045714522476,0.859299272935428,0.619240144483361,0.591665210547695
"Gene25",0.90622467620675,0.966283351191149,0.893502331996651,0.998840207603079,0.99503088748758,0.963369368540483,0.295063515002517,0.554881573023473,0.837624592174473,0.943497837376113,0.981818354782242,0.738182011044437
"Gene26",0.999772395355074,0.933213077664957,0.986415308741731,0.905066334044863,0.999838481123577,0.819979741924384,0.835828121707524,0.754055009501476,0.999550976124087,0.999772395355074,0.976088599655428,0.982531910909291
"Gene27",0.981371082491507,0.708742804788113,0.425787540594761,0.990977258607044,0.999772395355074,0.989109816252879,0.358587469285493,0.769164633568412,0.929815089677491,0.999749598010405,0.745469855550848,0.997015928789343
"Gene28",0.83055244663196,0.952327114454018,0.999772395355074,0.999772395355074,0.830808200761911,0.993518030962934,0.988357062935285,0.89873598442213,0.677148622287871,0.577964534443218,0.99070411677952,0.919827862494701
"Gene29",0.979374167598205,0.76388560053833,0.936220928499084,0.999772395355074,0.959470205196057,0.841092977664108,0.811051379722326,0.999772395355074,0.881019802971851,0.872942328954623,0.909498230490493,0.983658328974044
"Gene30",0.999772395355074,0.999772395355074,0.902873133451002,0.787693562862071,0.671930780062141,0.947049232158227,0.998840207603079,0.979284664624715,0.996838361769427,0.10810463084236,0.916029232108326,0.952614207994254
"Gene31",0.412207652326318,0.867093540141413,0.99064364877254,0.931291625681969,0.919322398224106,0.647770518877382,0.746710717600314,0.999772395355074,0.999772395355074,0.999772395355074,0.446957362284578,0.668228590747927
"Gene32",0.263206763534934,0.385642180962512,0.676627064140866,0.87115882221467,0.884517142320059,0.9902781946528,0.827904018787933,0.915317059884132,0.484758103990185,1,0.963938160045096,0.983544712033985
"Gene33",0.710406459919858,0.945343078655888,0.969597521265372,0.947546997467786,0.255762357475849,0.553514186712242,0.963974703398103,0.92780067431214,0.89816119575976,0.997057732412248,0.988809815540614,0.999772395355074
"Gene34",0.999772395355074,0.991734529033494,0.999772395355074,0.984910297527233,0.605886090848445,0.999772395355074,0.953407740156549,0.634538254379578,0.847313358583855,0.973509153226447,0.973509153226447,0.979120920386127
"Gene35",0.807482057135342,0.999772395355074,0.999772395355074,0.557565842288263,0.406406048240888,0.997777451310038,0.906265743528093,0.773156316351462,0.724296316033117,0.932473573438735,0.839855906143521,0.969125951214986
"Gene36",0.865894329865213,0.895991567494752,0.96705931690012,0.998866259810803,0.988048247996053,0.972744600619671,0.986977981928991,0.705700420959697,0.752312837528109,0.91674652285678,0.975487166498287,0.966817724535089
"Gene37",0.825533343726857,0.846220293293788,0.745882313762349,0.996838361769427,0.113237436386292,0.882112740860125,0.734185995238521,0.259461625607117,0.815237129139384,0.98099973306382,0.823203864501647,0.860062196693378
"Gene38",0.964372192807509,1,0.778700714966707,0.866913607058398,0.975647219850961,0.936077548063109,0.872554875889884,0.999772395355074,0.695941885187373,0.966068755157087,0.668777112842257,0.943788032883022
"Gene39",0.9821986313838,0.752312837528109,0.999772395355074,0.999140493600968,0.960701696699193,0.572633820857376,0.932255861586602,0.990151629856016,0.955103692284787,0.774087056254924,0.758378050420019,0.926930452784467
"Gene40",0.705672678785449,0.94305376385467,0.999772395355074,0.999772395355074,0.999772395355074,0.649693213448431,0.716920408376563,0.55731410003767,0.728762336822693,0.952614207994254,0.999772395355074,0.999772395355074
