,g,pval,qval
500,ARAP3,0.8983836675759126,0.8983836729030311
2009,KLF2,0.8983836675783565,0.8983836729030311
2414,MXRA7,0.8983836675807013,0.8983836729030311
2080,LGALS9C,0.8983836675846368,0.8983836729030311
906,CHCHD2,0.8983836675850441,0.8983836729030311
489,APOE,0.8983836675892768,0.8983836729030311
682,BRD4,0.8983836675895136,0.8983836729030311
1063,CSNK1E,0.8983836675897612,0.8983836729030311
522,ARHGEF12,0.8983836675916766,0.8983836729030311
1821,HPCAL1,0.8983836675936803,0.8983836729030311
2231,MED25,0.8983836675952269,0.8983836729030311
532,ARL6IP1,0.8983836675976653,0.8983836729030311
1579,GAK,0.8983836675997294,0.8983836729030311
1864,IFI35,0.8983836676002743,0.8983836729030311
1402,ERRFI1,0.8983836675779602,0.8983836729030311
2296,MMS19,0.8983836673976031,0.8983836729030311
580,ATP2A2,0.8983836675515674,0.8983836729030311
1013,COPZ1,0.8983836675504611,0.8983836729030311
2353,MST1L,0.8983836675083428,0.8983836729030311
514,ARHGAP35,0.8983836675084528,0.8983836729030311
1689,GSDMD,0.8983836675099389,0.8983836729030311
2239,MEGF6,0.8983836675112489,0.8983836729030311
386,AL365436.1,0.898383667516522,0.8983836729030311
61,AC009413.1,0.8983836675167092,0.8983836729030311
2181,MAP3K3,0.898383667517788,0.8983836729030311
1065,CSNK2A1,0.8983836675183824,0.8983836729030311
496,APTX,0.8983836675201547,0.8983836729030311
1362,EML3,0.8983836675207932,0.8983836729030311
2526,NEO1,0.8983836675226207,0.8983836729030311
1399,ERMP1,0.8983836675233197,0.8983836729030311
477,AP3D1,0.8983836675241784,0.8983836729030311
351,AL109936.1,0.8983836675507363,0.8983836729030311
2336,MRPL57,0.8983836675243985,0.8983836729030311
1233,DPH7,0.8983836675255984,0.8983836729030311
1051,CRTAP,0.8983836675325283,0.8983836729030311
907,CHD1,0.8983836675352693,0.8983836729030311
2312,MPZL1,0.8983836675357427,0.8983836729030311
1523,FOSB,0.8983836675421056,0.8983836729030311
1623,GIGYF1,0.8983836675430303,0.8983836729030311
1309,EHD4,0.8983836675441532,0.8983836729030311
581,ATP2A3,0.898383667547841,0.8983836729030311
289,ADNP,0.8983836675482263,0.8983836729030311
2435,NAA10,0.8983836675483089,0.8983836729030311
451,ANKRD54,0.89838366754854,0.8983836729030311
658,BIN3,0.8983836675494262,0.8983836729030311
1752,HEBP2,0.8983836675495583,0.8983836729030311
1620,GGTLC1,0.8983836675247012,0.8983836729030311
1588,GAPDHP40,0.898383667601232,0.8983836729030311
1415,EVPL,0.8983836673962106,0.8983836729030311
422,ALDH7A1,0.8983836673933732,0.8983836729030311
198,AC113398.1,0.8983836672465562,0.8983836729030311
1991,KIAA1217,0.8983836672469249,0.8983836729030311
1945,ITPKC,0.8983836672479872,0.8983836729030311
725,C19orf70,0.8983836672513117,0.8983836729030311
2265,MIA3,0.8983836672526327,0.8983836729030311
2424,MYO15B,0.8983836672535079,0.8983836729030311
2349,MSL1,0.8983836672537171,0.8983836729030311
2158,MAGED1,0.8983836672545757,0.8983836729030311
188,AC105399.1,0.8983836672551041,0.8983836729030311
296,AFF4,0.8983836672553793,0.8983836729030311
1268,ECE1,0.8983836672594635,0.8983836729030311
509,ARHGAP21,0.8983836672599094,0.8983836729030311
1122,DAB2IP,0.8983836672609552,0.8983836729030311
794,CAV2,0.898383667261368,0.8983836729030311
468,AP003352.1,0.8983836672650503,0.8983836729030311
1993,KIAA1522,0.8983836672661456,0.8983836729030311
1408,ETFB,0.8983836672687987,0.8983836729030311
362,AL138721.1,0.8983836672699875,0.8983836729030311
749,C6orf48,0.8983836672714738,0.8983836729030311
1139,DCN,0.8983836672739396,0.8983836729030311
10,ABCF3,0.8983836672742864,0.8983836729030311
431,AMN,0.898383667276257,0.8983836729030311
1602,GCN1,0.8983836672765927,0.8983836729030311
947,CLEC2D,0.898383667277044,0.8983836729030311
1174,DENND2D,0.8983836672778751,0.8983836729030311
1787,HLX,0.898383667278387,0.8983836729030311
1638,GMPPA,0.8983836672816236,0.8983836729030311
2579,NPAS2,0.8983836672448002,0.8983836729030311
1,AAMP,0.8983836672447837,0.8983836729030311
2282,MIR210HG,0.8983836672447122,0.8983836729030311
1151,DDRGK1,0.8983836672433911,0.8983836729030311
361,AL136968.2,0.8983836672059734,0.8983836729030311
2356,MT.CO1,0.8983836672065183,0.8983836729030311
183,AC104306.1,0.8983836672113565,0.8983836729030311
1980,KDM6B,0.8983836672133491,0.8983836729030311
1622,GHDC,0.8983836672134097,0.8983836729030311
2324,MRPL27,0.8983836672138169,0.8983836729030311
275,ADAMTS14,0.8983836672153747,0.8983836729030311
2377,MTA3,0.8983836672160131,0.8983836729030311
784,CARD10,0.8983836672172572,0.8983836729030311
2385,MTCO2P22,0.8983836672175708,0.8983836729030311
1846,HYAL2,0.8983836672185396,0.8983836729030311
2469,NCAPH2,0.8983836672200202,0.8983836729030311
883,CDS2,0.898383667220967,0.8983836729030311
875,CDK2AP2,0.8983836672826583,0.8983836729030311
972,CNNM2,0.8983836672243741,0.8983836729030311
957,CLPTM1,0.8983836672266748,0.8983836729030311
471,AP005431.1,0.8983836672270987,0.8983836729030311
414,AL663070.1,0.8983836672277261,0.8983836729030311
1803,HNRNPA3,0.8983836672308251,0.8983836729030311
1661,GPBP1,0.898383667231458,0.8983836729030311
1539,FRMD8,0.8983836672325919,0.8983836729030311
2400,MTPN,0.8983836672354101,0.8983836729030311
840,CCT7,0.8983836672375898,0.8983836729030311
2319,MRPL10,0.8983836672377328,0.8983836729030311
2405,MTUS1,0.8983836672383934,0.8983836729030311
1832,HSDL2,0.898383667239153,0.8983836729030311
1971,KCNJ3,0.8983836672393566,0.8983836729030311
67,AC010503.4,0.898383667241118,0.8983836729030311
521,ARHGEF11,0.8983836672252382,0.8983836729030311
1743,HDAC1P2,0.8983836672848875,0.8983836729030311
987,COG8,0.8983836672870837,0.8983836729030311
952,CLMN,0.8983836672892413,0.8983836729030311
1328,EIF3I,0.8983836673399765,0.8983836729030311
515,ARHGAP4,0.8983836673409371,0.8983836729030311
2346,MRPS34,0.8983836673467055,0.8983836729030311
922,CHMP7,0.8983836673518465,0.8983836729030311
379,AL357055.1,0.898383667355881,0.8983836729030311
2597,NPRL2,0.898383667358358,0.8983836729030311
185,AC104563.1,0.8983836673594092,0.8983836729030311
1941,ITGAX,0.8983836673594258,0.8983836729030311
147,AC091959.1,0.8983836673600698,0.8983836729030311
1512,FLOT1,0.8983836673601909,0.8983836729030311
299,AGAP10P,0.8983836673627393,0.8983836729030311
330,AKT2,0.8983836673659152,0.8983836729030311
2619,NTAN1,0.8983836673662345,0.8983836729030311
789,CASC3,0.8983836673391428,0.8983836729030311
908,CHD1L,0.8983836673682271,0.8983836729030311
2182,MAP3K4,0.8983836673740726,0.8983836729030311
1538,FRG1,0.8983836673745954,0.8983836729030311
215,AC131888.1,0.8983836673755147,0.8983836729030311
2180,MAP3K20,0.8983836673779255,0.8983836729030311
2097,LINC01578,0.8983836673798575,0.8983836729030311
318,AK3,0.8983836673802703,0.8983836729030311
843,CD160,0.898383667382395,0.8983836729030311
2576,NOTCH2,0.8983836673835288,0.8983836729030311
590,ATP5I,0.8983836673850369,0.8983836729030311
