"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25",0.829118265833855,1,0.934073864659191,0.97591750009035,0.957025678323611,1,0.424585881803681,1,0.493526885274878,1,0.323742925633168,1,0.829118265833855,1,0.934073864659191,0.97591750009035,0.957025678323611,1,0.424585881803681,1,0.493526885274878,1,0.323742925633168,1,0.829118265833855,1,0.934073864659191,0.97591750009035,0.957025678323611,1,0.424585881803681,1,0.493526885274878,1,0.323742925633168,1
"26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27",1,0.961172525665427,0.736168040247167,0.486668057018569,0.833866402327508,1,1,1,1,0.603666331219551,0.925008219505541,1,1,0.961172525665427,0.736168040247167,0.486668057018569,0.833866402327508,1,1,1,1,0.603666331219551,0.925008219505541,1,1,0.961172525665427,0.736168040247167,0.486668057018569,0.833866402327508,1,1,1,1,0.603666331219551,0.925008219505541,1
"28",0.994922872245961,1,0.737233521231609,0.912706826050693,1,1,1,1,0.753478792699675,1,0.551637778570548,0.72910791058705,0.994922872245961,1,0.737233521231609,0.912706826050693,1,1,1,1,0.753478792699675,1,0.551637778570548,0.72910791058705,0.994922872245961,1,0.737233521231609,0.912706826050693,1,1,1,1,0.753478792699675,1,0.551637778570548,0.72910791058705
"29",1,1,1,0.861302716953691,1,0.701520359618117,1,1,1,0.99743790976268,0.947393848781142,0.725703080858263,1,1,1,0.861302716953691,1,0.701520359618117,1,1,1,0.99743790976268,0.947393848781142,0.725703080858263,1,1,1,0.861302716953691,1,0.701520359618117,1,1,1,0.99743790976268,0.947393848781142,0.725703080858263
"30",0.963039940059448,0.414015609684203,0.701520359618117,1,1,1,1,1,0.611168325663756,0.993040884024592,1,0.87380464042456,0.963039940059448,0.414015609684203,0.701520359618117,1,1,1,1,1,0.611168325663756,0.993040884024592,1,0.87380464042456,0.963039940059448,0.414015609684203,0.701520359618117,1,1,1,1,1,0.611168325663756,0.993040884024592,1,0.87380464042456
"31",0.851963209596389,1,1,1,1,0.951491770701237,1,0.932588324417621,0.804717057936419,0.842517630370947,1,1,0.851963209596389,1,1,1,1,0.951491770701237,1,0.932588324417621,0.804717057936419,0.842517630370947,1,1,0.851963209596389,1,1,1,1,0.951491770701237,1,0.932588324417621,0.804717057936419,0.842517630370947,1,1
"32",1,1,1,0.822953099483728,0.803936785812749,1,1,1,1,0.891208971824867,1,0.763040157276253,1,1,1,0.822953099483728,0.803936785812749,1,1,1,1,0.891208971824867,1,0.763040157276253,1,1,1,0.822953099483728,0.803936785812749,1,1,1,1,0.891208971824867,1,0.763040157276253
"33",1,0.984464271797152,1,1,0.448949217667172,0.622885400358531,0.954548147525114,1,1,0.758251390405378,0.731667049889731,0.965348801351372,1,0.984464271797152,1,1,0.448949217667172,0.622885400358531,0.954548147525114,1,1,0.758251390405378,0.731667049889731,0.965348801351372,1,0.984464271797152,1,1,0.448949217667172,0.622885400358531,0.954548147525114,1,1,0.758251390405378,0.731667049889731,0.965348801351372
"34",1,1,1,1,0.965964626753988,0.786258851010458,0.138076898788694,1,0.9632489597353,0.836152380108565,0.866524878209945,1,1,1,1,1,0.965964626753988,0.786258851010458,0.138076898788694,1,0.9632489597353,0.836152380108565,0.866524878209945,1,1,1,1,1,0.965964626753988,0.786258851010458,0.138076898788694,1,0.9632489597353,0.836152380108565,0.866524878209945,1
"35",1,0.814208221134417,1,1,0.862427111258877,1,0.966854821596258,1,1,1,1,1,1,0.814208221134417,1,1,0.862427111258877,1,0.966854821596258,1,1,1,1,1,1,0.814208221134417,1,1,0.862427111258877,1,0.966854821596258,1,1,1,1,1
"36",1,1,1,0.972674226660908,0.754454702359126,0.948207869405115,0.54303864906972,0.731329302492966,0.751243234307777,1,0.855486665478017,1,1,1,1,0.972674226660908,0.754454702359126,0.948207869405115,0.54303864906972,0.731329302492966,0.751243234307777,1,0.855486665478017,1,1,1,1,0.972674226660908,0.754454702359126,0.948207869405115,0.54303864906972,0.731329302492966,0.751243234307777,1,0.855486665478017,1
"37",0.912306885284718,0.907038793660671,0.724633414158165,1,0.960573675198131,1,1,0.935467282132989,0.768073815153872,0.939898128185394,0.871065767575582,1,0.912306885284718,0.907038793660671,0.724633414158165,1,0.960573675198131,1,1,0.935467282132989,0.768073815153872,0.939898128185394,0.871065767575582,1,0.912306885284718,0.907038793660671,0.724633414158165,1,0.960573675198131,1,1,0.935467282132989,0.768073815153872,0.939898128185394,0.871065767575582,1
"38",0.726756450496198,0.930817326976945,1,0.822533655626033,1,1,1,0.871822129828358,1,0.959844980782651,0.804449392595275,0.949611289153285,0.726756450496198,0.930817326976945,1,0.822533655626033,1,1,1,0.871822129828358,1,0.959844980782651,0.804449392595275,0.949611289153285,0.726756450496198,0.930817326976945,1,0.822533655626033,1,1,1,0.871822129828358,1,0.959844980782651,0.804449392595275,0.949611289153285
"39",0.499511867325004,0.97022644498852,1,0.799437161666232,1,0.769322887822054,1,1,0.955216024910135,0.969040849010475,0.323742925633168,0.87380464042456,0.499511867325004,0.97022644498852,1,0.799437161666232,1,0.769322887822054,1,1,0.955216024910135,0.969040849010475,0.323742925633168,0.87380464042456,0.499511867325004,0.97022644498852,1,0.799437161666232,1,0.769322887822054,1,1,0.955216024910135,0.969040849010475,0.323742925633168,0.87380464042456
