,g,pval,qval
1781,AC098583.1,2.3982558727819736e-07,6.06267167839915e-06
3181,ACTB,2.450112636109836e-07,6.117765907341737e-06
3678,CAVIN1,2.439282120736408e-07,6.117765907341737e-06
3221,AP001496.2,2.5241024670386025e-07,6.264083561492141e-06
1862,EEF1A1P13,2.9346883223535514e-07,7.238897861805427e-06
3771,INF2,3.2107819736282295e-07,7.872218453413792e-06
4059,LSR,3.415990795785362e-07,8.325199125057738e-06
1804,AL121871.1,3.458832639191556e-07,8.379433834231925e-06
1854,DKK3,3.854446044559978e-07,9.227997294917125e-06
1970,AC000081.1,3.849182181880906e-07,9.227997294917125e-06
3553,MMP7,4.105379243224405e-07,9.771282760189082e-06
2766,HLA.DRA,4.974506269128653e-07,1.1771070067066057e-05
2080,AC093106.1,5.399310060161255e-07,1.2702423089512318e-05
2042,AC068724.1,5.569619779821622e-07,1.3027788795329885e-05
1758,AC007389.2,5.732633490129757e-07,1.3332467602758921e-05
1877,FTH1P15,6.14920780628303e-07,1.4194410641090876e-05
2192,AL121594.1,6.206308913458969e-07,1.4194410641090876e-05
3792,LGALS1,6.207874924113455e-07,1.4194410641090876e-05
2447,CLIC3,6.656750760614116e-07,1.5135740556256678e-05
2143,AC244034.1,6.933251298635312e-07,1.5676851547469844e-05
2175,AL009174.1,7.086449135274009e-07,1.584716922009078e-05
2024,AC018868.1,7.069389138525395e-07,1.584716922009078e-05
3547,MGP,7.79183715882148e-07,1.7329386467980014e-05
3231,AQP8,7.969409032693164e-07,1.762798628427238e-05
2244,ALDH1A1,8.154348828393054e-07,1.793956742246472e-05
2361,C1S,8.767667082354436e-07,1.918516399203363e-05
3658,ARL14,9.077230722631668e-07,1.9756325690433632e-05
2111,AC110749.1,9.938142416787699e-07,2.1515021083152093e-05
3569,MT.CO3,1.0285337850302056e-06,2.2032276342489143e-05
1603,GPT2,1.0264157200845503e-06,2.2032276342489143e-05
1833,C2CD4B,1.0385806342716464e-06,2.213101142139058e-05
4022,NOTCH3,1.1904099109782962e-06,2.5110527468136275e-05
3918,CTSE,1.1907449143366833e-06,2.5110527468136275e-05
2139,AC146507.1,1.2024501212515304e-06,2.522665976027695e-05
1879,FTH1P23,1.2201817279899885e-06,2.5467382732919246e-05
2445,CLDN10,1.2284307547849593e-06,2.550874067334074e-05
3155,AC091167.1,1.266044206582606e-06,2.615634477558988e-05
1380,AK3,1.2857159130685858e-06,2.642860487974315e-05
2103,AC106800.4,1.3009354062898382e-06,2.6607070872360008e-05
3871,ANTXR1,1.363673373555585e-06,2.7750753151856155e-05
1840,CBWD5,1.3836957343249523e-06,2.8018117605485353e-05
1906,IGLC2,1.4861200460236645e-06,2.9943111818397597e-05
1938,MT1E,1.5053523959585036e-06,3.0181203209611377e-05
3793,LGALS3BP,1.5449884496199218e-06,3.082403426447589e-05
2052,AC078817.1,1.572328545695889e-06,3.121647405357204e-05
2469,COL4A2,1.58202206246294e-06,3.1256455311767795e-05
2648,FAM213A,1.6693687655555678e-06,3.282285447251768e-05
1925,MAN1A1,1.6884050859644617e-06,3.303754182632384e-05
1764,AC019084.1,1.7202038863350921e-06,3.349870726020969e-05
3639,AGT,1.8659855585134721e-06,3.6164577253094434e-05
3001,MT1P1,1.8793751720425078e-06,3.6251454740346e-05
1908,INS,1.935239523076504e-06,3.715294744774232e-05
1518,DES,2.042875011709633e-06,3.903521735989768e-05
1818,ANKRD40,2.1986315477118268e-06,4.17229985809981e-05
3004,MT2A,2.204040465580981e-06,4.17229985809981e-05
3690,CLIC1,2.2144843541127557e-06,4.17266264872172e-05
3968,ITGA3,2.2660398293350426e-06,4.244743317063697e-05
2216,AL358178.1,2.273597157542717e-06,4.244743317063697e-05
2488,CRISPLD2,2.3960482324891785e-06,4.452929820196784e-05
4007,MUC16,2.471959949179592e-06,4.573125905982245e-05
1766,AC022431.1,2.490672148303119e-06,4.5868939563772374e-05
1761,AC013356.1,2.6419366933039257e-06,4.8218306465233085e-05
1997,AC008026.2,2.6303765563451265e-06,4.8218306465233085e-05
3882,BAIAP2L2,2.715519119789178e-06,4.93400125783123e-05
1864,EIF1P5,2.7886126303666714e-06,5.04429040248549e-05
3424,FOS,2.8187094199827456e-06,5.076171389083971e-05
4029,ADAP1,2.8484602346834365e-06,5.1071511696747073e-05
3124,AC009220.1,2.9027845308560174e-06,5.181725017799996e-05
2205,AL139100.1,2.9601881526009066e-06,5.242673559560772e-05
2267,AP000281.1,2.9626902179336057e-06,5.242673559560772e-05
3132,AC015911.1,3.111757097440382e-06,5.482619647871149e-05
2029,AC020978.1,3.155544745059302e-06,5.520425469113601e-05
3115,AC005840.1,3.160341853325477e-06,5.520425469113601e-05
3982,LIPH,3.2114360201118686e-06,5.585702821305686e-05
1951,NEURL3,3.2780664496190326e-06,5.6773321063614734e-05
2324,AZGP1,3.3523220316356017e-06,5.781335029134279e-05
2219,AL359704.1,3.4350000097660427e-06,5.8989240674041325e-05
1946,NAMPT,3.631574672868787e-06,6.210297864947883e-05
3125,AC009245.1,3.8927152348211536e-06,6.629017157205897e-05
3496,KCNK3,3.921824411112773e-06,6.65076056384541e-05
1956,NOMO3,3.983989811606747e-06,6.72814876897903e-05
3153,AC090498.1,4.10234159486933e-06,6.899392682280236e-05
1842,CD55,4.376746776446616e-06,7.330600567957913e-05
4063,MYH14,4.578891563356002e-06,7.637741255270053e-05
1753,AC004223.1,4.626545987207464e-06,7.685731497116074e-05
