"","combinedPval","adjustedPval"
"AC016638.1",0.124681806768193,1
"AC016687.1",0.333530303037252,1
"AC016691.1",0.241347707222989,1
"AC016700.2",0.49920673335887,1
"AC016712.1",0.425740971922343,1
"AC016734.1",0.622075933199495,1
"AC016739.1",0.0986005403133463,1
"AC018475.1",0.62121878916537,1
"AC018523.1",0.228053853980551,1
"AC018695.1",0.557509644338912,1
"AC018738.1",0.269504440696812,1
"AC018868.1",0.37918715850778,1
"AC019084.1",0.490873364822749,1
"AC019181.1",0.982817847751425,1
"AC019205.3",0.48087033570617,1
"AC020656.1",0.333530303037252,1
"AC020658.1",0.0537806270007339,1
"AC020898.1",0.283884482272876,1
"AC020899.1",0.106793616320622,1
"AC020916.1",0.199188223440084,1
"AC020917.1",0.233212850881771,1
"AC020978.1",0.215185459766761,1
"AC020983.1",0.557325456214959,1
"AC021016.1",0.454053502646047,1
"AC021074.1",0.178850120274577,1
"AC021443.1",0.218572027947377,1
"AC021723.1",0.859222248342687,1
"AC021739.1",0.131952491494738,1
"AC022018.1",0.910620746428145,1
"AC022034.3",0.504840624975097,1
"AC022210.1",0.0931432183168949,1
"AC022431.1",0.340171855690143,1
"AC022483.2",0.5404185365014,1
"AC022558.1",0.333530303037252,1
"AC022701.1",0.23058626064315,1
"AC022730.1",0.557325456214959,1
"AC023424.2",0.49920673335887,1
"AC023906.1",0.207456940437045,1
"AC024293.1",0.111608049041407,1
"AC024619.4",0.557509644338912,1
"AC024940.2",0.0739239859565262,1
"AC024995.1",0.581109149159846,1
"AC025062.1",0.287984318435082,1
"AC025154.2",0.333530303037252,1
"AC025181.1",0.918059034607592,1
"AC025458.1",0.946834152426646,1
"AC025459.1",0.0394019003630803,1
"AC025518.1",0.20605039316599,1
"AC025627.3",0.557509644338912,1
"AC025750.2",0.586646223917288,1
"AC026254.2",0.0619938365698873,1
"AC026366.1",0.14770692153967,1
"AC026403.1",0.193372521439127,1
"AC026436.1",0.135162158080186,1
"AC026979.1",0.194309700384782,1
"AC026979.3",0.635379525353059,1
"AC027309.2",0.256183841422072,1
"AC027575.1",0.131952491494738,1
"AC034207.1",0.571405465437518,1
"AC034236.1",0.127549898502788,1
"AC034268.1",0.0915158913966367,1
"AC040162.2",0.350120661538784,1
"AC044787.1",0.0558791487242987,1
"AC044810.1",0.112322330356354,1
"AC046130.1",0.400430081359383,1
"AC062028.2",0.557325456214959,1
"AC063943.2",0.0547304077817481,1
"AC064799.1",0.0574454916150958,1
"AC067796.1",0.283116039141299,1
"AC067863.1",0.910620746428145,1
"AC067942.1",0.182946429931485,1
"AC068313.1",0.167773642806726,1
"AC068522.1",0.167268746757383,1
"AC068724.1",0.10322529825898,1
"AC069181.1",0.251686393795171,1
"AC069213.3",0.125198065889325,1
"AC069218.1",0.720228253595849,1
"AC073072.2",0.142106002337725,1
"AC073335.1",0.586646223917288,1
"AC073621.1",0.121288925346482,1
"AC073648.4",0.0450898998777191,1
"AC073861.1",0.11520256632753,1
"AC073869.1",0.285297988735196,1
"AC073896.4",0.715386536992946,1
"AC074033.1",0.517598466643703,1
"AC074052.1",0.852503252003664,1
"AC074085.2",0.546886503391511,1
"AC074276.1",0.586646223917288,1
"AC078814.1",0.0589802474804465,1
"AC078817.1",0.623311126175595,1
"AC079075.1",0.451717519839264,1
"AC079140.2",0.0961212233608056,1
"AC079150.2",0.5404185365014,1
"AC079193.1",0.330695432413687,1
"AC079228.1",0.557325456214959,1
"AC079250.1",0.247461996695875,1
"AC079834.1",0.381251885203893,1
"AC079922.1",0.143669014534833,1
"AC084198.1",0.139790473539002,1
"AC087190.1",0.17353900269597,1
"AC087343.1",0.298600819718126,1
"AC087477.1",0.147321726914315,1
"AC087588.1",0.380453095169564,1
"AC087633.2",0.808344610925138,1
"AC087752.1",0.123343756834683,1
"AC090013.1",0.0968995840551995,1
"AC090058.1",0.684818342530519,1
"AC090114.1",0.369685644994291,1
"AC090311.1",0.146171292740335,1
"AC090498.1",0.72194770051515,1
"AC090515.1",0.333530303037252,1
"AC090543.2",0.196491283616932,1
"AC090589.1",0.299255066259197,1
"AC090602.1",0.422362309484368,1
"AC090680.1",0.218572027947377,1
"AC090686.1",0.0923226462502209,1
"AC090826.1",0.414856387999773,1
"AC091042.1",0.0919681738608777,1
"AC091133.5",0.246506467811781,1
"AC091153.1",0.125961714445265,1
"AC091167.1",0.180370890602452,1
"AC091179.1",0.177573435670689,1
"AC091429.1",0.0839087865159767,1
"AC091685.2",0.318252785945432,1
"AC091839.1",0.215185459766761,1
"AC091959.1",0.490367467463774,1
"AC091982.1",0.180298029062557,1
"AC092017.1",0.961033307712761,1
"AC092017.2",0.267832496959413,1
"AC092069.1",0.684165554318806,1
