"","combined_pvalue","adjusted_pvalue"
"AC092670.1",5.31127808400811e-09,4.76791439946773e-07
"AC092683.1",0.00110480371623201,0.0424746646189335
"AC092725.2",9.26023233649431e-08,6.96484189405306e-06
"AC092754.1",0.719648892059292,1
"AC092798.1",0.104884401103524,1
"AC092865.4",0.0599481528372521,1
"AC092991.1",4.30300239884218e-12,5.80859704454477e-10
"AC093106.1",2.50399700973958e-12,3.49758676749298e-10
"AC093142.1",0.580399750060098,1
"AC093323.1",0.848605146681203,1
"AC093422.1",0.0137581294628262,0.382281131635618
"AC093591.1",1.11589863993622e-06,7.44834727349611e-05
"AC093663.2",6.66133814775094e-16,1.37707592867507e-13
"AC093698.1",4.44857634063212e-08,3.52931693843701e-06
"AC093700.1",0.163751692737497,1
"AC093789.1",0.0098855736582959,0.289580540374506
"AC093827.1",3.11613176651182e-06,0.000193035605372091
"AC095041.1",0.417218723898653,1
"AC096631.2",0.00470432748267036,0.153323605453464
"AC096664.2",0.0523778990251387,1
"AC096733.2",0.34725462064823,1
"AC096919.1",6.51491136327564e-06,0.00038892901401652
"AC097358.1",0.333965544263064,1
"AC097484.1",0.000521549810969191,0.0218888518520489
"AC097523.1",0.65271837360001,1
"AC097638.1",0.41364033682921,1
"AC097658.1",0.00387956593466554,0.12923726760375
"AC097713.2",0.00504017848959948,0.162436431077232
"AC098583.1",5.87393103046452e-08,4.56993839251167e-06
"AC098590.1",0.000832840852504235,0.0330008934468429
"AC098614.1",0.175995124907612,1
"AC098614.2",1.35357437480721e-07,9.97321283274691e-06
"AC098828.1",1.24384429889268e-06,8.24152978664689e-05
"AC098847.2",0.720728463579422,1
"AC098934.3",0.0388299122788991,0.918741595777264
"AC098935.1",0.780478487397646,1
"AC099335.1",0.00112230351957643,0.0430103311120046
"AC099336.2",3.17523785042795e-14,5.44412719037816e-12
"AC099340.1",0.521819908938109,1
"AC099513.1",0.422302412524502,1
"AC099518.5",0.801126643801411,1
"AC099560.2",1.98133731643679e-10,2.12068504710796e-08
"AC099670.2",0.00103381455653473,0.040043333306227
"AC099789.1",0.0187565531179585,0.497477125627304
"AC100771.1",0.000132670730922158,0.00623331180682023
"AC100793.1",1.832482998676e-08,1.52751217306758e-06
"AC100843.1",0.0191111064146917,0.505398779422089
"AC103702.2",0.0010779160325699,0.0416178648951118
"AC103975.1",0.397863773278961,1
"AC104212.2",2.99760216648792e-14,5.16403473253153e-12
"AC104306.1",2.80880968720476e-05,0.00150317683274128
"AC104339.1",6.13038057508675e-05,0.00306749310004907
"AC104563.1",1.32294175614334e-12,1.89921721829771e-10
"AC104619.1",0.092188861975478,1
"AC104619.3",0.123130553995125,1
"AC104619.4",0.298614418141571,1
"AC104843.1",5.50892664819003e-13,8.10151682022358e-11
"AC104978.1",3.71326880355127e-08,2.9720246661325e-06
"AC105399.1",0.174521535755505,1
"AC106800.4",1.04607550954761e-07,7.78683945500629e-06
"AC106820.1",7.75497428495697e-08,5.90637759253714e-06
"AC106872.2",0.0229739146376104,0.594939839992336
"AC106872.3",0.223706896446743,1
"AC106872.7",2.76042078084515e-10,2.92000528500645e-08
"AC107032.1",0.000111995355806194,0.00535227709894527
"AC107956.1",0.00191174647738224,0.0695782606146356
"AC107956.2",0.46228814116659,1
"AC107983.1",1.51756163191408e-10,1.65864253893237e-08
"AC108022.1",0.365230377981504,1
"AC108114.1",0.0880971733566155,1
"AC108161.1",1.11022302462516e-16,2.6080983497634e-14
"AC108734.1",0.448286450402795,1
"AC109327.2",2.00291704215427e-05,0.00109455963375917
"AC109454.1",6.58500839609832e-05,0.00327684861041077
"AC110602.1",0.17165182187162,1
"AC110749.1",9.31947152782442e-08,6.99485478696419e-06
"AC110792.1",2.91508821144149e-05,0.00155545145920497
"AC113208.1",0.144464703268875,1
"AC113367.1",5.44316702821845e-10,5.54699486106579e-08
"AC113398.1",0.114290013375721,1
"AC113608.1",0.375882747414257,1
"AC113935.1",2.26219043497622e-12,3.18442110665991e-10
"AC114402.1",0.276699348204116,1
"AC114495.1",0.470485667856312,1
"AC114728.1",2.93905147996654e-08,2.38400295747066e-06
"AC114801.3",0.133443583838267,1
"AC115223.1",2.85993555504405e-07,2.02474251525021e-05
"AC115618.3",0.454012101463045,1
"AC116049.1",0.641263896702208,1
"AC116347.1",0.794176839585904,1
"AC116533.1",2.9831692671678e-13,4.57299102091269e-11
"AC116562.1",0.00198522113185029,0.071819659998937
"AC118758.3",0.868038798604998,1
"AC120036.1",4.93908465577508e-05,0.00252019816033153
"AC121334.1",0.0881067856066234,1
"AC123769.1",0.484487718284181,1
"AC124916.1",3.1733918826049e-09,2.95126739964104e-07
"AC125807.1",5.30686605770825e-14,8.72669707830833e-12
"AC126389.1",0.0230222008738102,0.595763816381055
"AC126615.1",0.0582854946090637,1
"AC126755.2",0.180641668096867,1
"AC127024.1",5.25594346527658e-05,0.00267433334758784
"AC127070.1",1.19161936984469e-08,1.02154983619234e-06
"AC130651.1",0.645177586557213,1
"AC131235.1",0.0991142225611585,1
"AC131888.1",0.890276936860359,1
"AC132825.1",0.51413380191501,1
"AC132942.1",0.318884439203487,1
"AC133134.1",8.83414407404359e-07,5.9849107191151e-05
"AC133435.1",0.129091016504755,1
"AC133473.1",0.542736771789822,1
"AC135068.6",2.22044604925031e-16,4.72526053957133e-14
"AC135178.6",0.0454785189297326,1
"AC135721.1",0.955853532564195,1
"AC136618.1",0.609177269324321,1
"AC136624.2",0.605330252570397,1
"AC136632.1",0.0338454207655354,0.820114641179884
"AC136632.2",0.340006043360052,1
"AC138123.1",1.43539624630762e-10,1.58318773907178e-08
"AC138969.1",0.311651549994483,1
"AC139085.1",0.44701269928966,1
"AC139749.1",0.0229046506424362,0.59357104722183
"AC140076.1",2.3682744654252e-09,2.2253880843978e-07
"AC144530.1",2.5040101214735e-08,2.05414901640243e-06
"AC145146.1",0.855123786699732,1
"AC145207.3",0.00459807845668991,0.149995864901406
"AC145285.1",6.41888568075899e-07,4.42318183115341e-05
"AC145285.7",0.779882266652535,1
"AC146507.1",2.22908349001294e-07,1.60641249478474e-05
"AC146507.2",0.71775629355146,1
"AC215219.1",0.200463645179036,1
"AC226101.1",0.00549962869282061,0.175141672685076
"AC233702.1",5.11015096904543e-09,4.59877469492181e-07
"AC234778.1",4.30766533554561e-14,7.21477280532697e-12
"AC243732.1",0.0841000106539884,1
"AC244034.1",3.27383977705153e-08,2.64962463685497e-06
"AC244107.1",2.69862655777331e-07,1.92182364824056e-05
"AC246787.1",1.11022302462516e-16,2.6080983497634e-14
"ACAA1",0.72761495231487,1
"ACAA2",0.196336553411482,1
"ACACB",0.0575169850040125,1
"ACAD9",0.483269300334362,1
"ACADS",0.577278749584556,1
"ACADVL",0.216137860781871,1
"ACAP1",0.0315942338236108,0.775006365273807
"ACAP3",0.0169076056407134,0.455449838413942
"ACAT1",0.00604881733622831,0.19028610860428
"ACBD3",0.571005936893024,1
"ACCS",0.382398933409398,1
"ACD",0.134931643996152,1
"ACHE",0.00295862988511741,0.102265412771237
"ACIN1",0.466330681981918,1
"ACLY",0.114430352664571,1
"ACO2",0.251008557753321,1
"ACOT7",0.00292286168160005,0.101284320879212
"ACOT8",0.108263906458838,1
"ACOT9",0.374802714371908,1
"ACOX1",0.59697358357612,1
"ACP1",0.0989534768789002,1
"ACP2",0.571154519510389,1
"ACP5",0.136841629562951,1
"ACSF2",0.451072298902843,1
"ACSF3",0.137418387132651,1
"ACSL1",0.00133658754023702,0.0502639704763409
"ACSL5",0.137976702324507,1
"ACSS1",0.470563611490281,1
"ACSS2",0.576678082560802,1
"ACTA2",0.000835435388961137,0.0330313428133299
"ACTB",5.55e-17,1.55645915461595e-14
"ACTG1",0.0380599639568453,0.904071803863058
"ACTL6A",0.0014475547386289,0.0540380992904715
"ACTN1",0.0350488951858305,0.845312962940512
"ACTN4",1.14504149184569e-06,7.62879333364474e-05
"ACTR1A",0.219918844180596,1
"ACTR1B",0.35979659434452,1
"ACTR2",0.0356483927560372,0.857485081892107
"ACTR3",0.793427247554198,1
"ACVRL1",0.146371478606422,1
"AD000090.1",1.11022302462516e-16,2.6080983497634e-14
"ADA",0.125165811793029,1
"ADA2",0.0070170115642374,0.217342072912691
"ADAM10",0.0636276368461641,1
"ADAM12",0.00010475387075326,0.00504620161079702
"ADAM15",0.000813371596607659,0.0323001902920564
"ADAM28",0.109740804811644,1
"ADAM8",0.129794676599078,1
"ADAM9",0.360004834802171,1
"ADAMTS1",9.62136107451883e-08,7.20649082362395e-06
"ADAMTS10",0.332918201928402,1
"ADAMTS12",2.11808545147463e-07,1.53252627158791e-05
"ADAMTS14",0.00175143043999226,0.0640665086251235
"ADAMTS15",0.281572501718709,1
"ADAMTS2",0.0980234704218756,1
"ADAMTS4",0.450197352861347,1
"ADAMTS9",0.0534048520473369,1
"ADAMTSL2",0.0451964731302132,1
"ADAP1",2.22044604925031e-16,4.72526053957133e-14
"ADAR",0.0358696443461237,0.861661233107115
"ADCK5",0.004410844784835,0.144670745158265
"ADCY3",0.0921654818754112,1
"ADCY5",0.265456220405007,1
"ADCY6",0.171668093135377,1
"ADD1",0.475882381867562,1
"ADD3",0.265558352909468,1
"ADGRA2",0.00345410498396514,0.116501468674611
"ADGRE5",0.0995701079161957,1
"ADGRF1",0.00255966917304074,0.0897301918280968
"ADGRG1",0.0489850290704844,1
"ADH5",0.700427376316131,1
"ADI1",0.118190420640025,1
"ADIPOR1",0.64869599547372,1
"ADIPOR2",0.082234604756483,1
"ADIRF",0.00159150763318827,0.0589045499352946
"ADNP",0.3915866193812,1
"ADORA1",0.778973767916894,1
"ADPRHL2",0.332846269148045,1
"ADRA2A",0.00042231095785028,0.0180591141313335
"ADRM1",9.78015807007182e-07,6.56434751196348e-05
"AEBP1",5.55e-17,1.55645915461595e-14
"AEN",0.0293259402531353,0.730667489953337
"AES",0.0615429529643512,1
"AF279873.2",0.888800585071133,1
"AFAP1",0.194967110891218,1
"AFDN",0.888037431236228,1
"AFF4",0.807502607116371,1
"AFG3L2",0.442842164622289,1
"AFTPH",0.762946770708604,1
"AGAP1",0.733299109168975,1
"AGAP10P",0.743900939549008,1
"AGAP12P",0.838312434398176,1
"AGAP2.AS1",0.211358009892557,1
"AGAP3",0.540256822836507,1
"AGAP4",0.645088327358056,1
"AGAP6",0.673770316416102,1
"AGAP9",0.858554038133079,1
"AGBL5",0.00890624533401363,0.2656246093382
"AGFG1",0.385154927846974,1
"AGFG2",0.567733865876466,1
"AGPAT1",0.164459133580151,1
"AGPAT2",4.53155291069152e-11,5.44646873549991e-09
"AGPAT3",0.383816721362806,1
"AGR2",0.191812594305292,1
"AGRN",0.519324350706156,1
"AGT",5.59236545960573e-10,5.66711184600106e-08
"AGTRAP",0.466857961991278,1
"AHCY",0.815071518536747,1
"AHCYL1",0.00374535288672839,0.125227565507356
