"","combinedPval","adjustedPval"
"KRT18P67",0.0727843678497764,0.843952445091292
"KRT18P8",0.90784499809829,1
"KRT19",2.71206390678458e-11,1.29098376893023e-08
"KRT19P1",0.683458062790918,1
"KRT23",0.213927729062889,1
"KRT7",0.0825684924497512,0.937627741969634
"KRT8",0.0169397292676219,0.25136639644772
"KRT80",0.041584327182127,0.522180772336963
"KRT8P45",0.075254754778149,0.868422076144943
"KRT8P46",0.390332242059538,1
"KRTCAP3",0.0997406776373424,1
"KSR1",0.000651002371152676,0.01638929444265
"KTN1",0.0212067896950271,0.303601660834047
"KXD1",0.00480407480773182,0.0868604600510016
"L3MBTL2",0.326654455260743,1
"LAD1",0.893786135610726,1
"LAIR1",0.00644502293353932,0.111721426774378
"LAMA4",0.186110440705401,1
"LAMA5",0.000611262148629721,0.0155511447088276
"LAMB1",1.29539181603633e-08,1.96905862793609e-06
"LAMB2",4.82110068543706e-05,0.00203992660520608
"LAMB3",2.65884969596897e-09,5.86522118825531e-07
"LAMC1",0.113544531718628,1
"LAMC2",1.88737914186277e-14,2.9686962955133e-11
"LAMC3",0.0113222797827729,0.179259480470249
"LAMP1",1.41056040847687e-06,9.21120357295771e-05
"LAMP2",0.000474429649314545,0.0125941327360486
"LAMTOR1",0.000458754253098714,0.012266389824032
"LAMTOR2",0.000783984513409219,0.0190479060998077
"LAMTOR4",0.000161653306675502,0.00535545543466394
"LAMTOR5",0.000666108025842105,0.0167114395155975
"LAPTM4A",7.40504868534941e-09,1.33280408798608e-06
"LAPTM4B",7.31743169994914e-05,0.00286782934896511
"LAPTM5",1.28917768793535e-07,1.20513658517334e-05
"LARGE2",0.00382972459377573,0.071753341537544
"LARP1",0.00796868727266031,0.134273155251089
"LARP4",0.0790813497712216,0.906507776669848
"LARP4B",0.0123159189693587,0.192390171819478
"LARS",0.699470944511328,1
"LAS1L",0.667987014833417,1
"LASP1",0.0209656613697493,0.30110284209211
"LBH",0.000142197074151085,0.00479877436786434
"LCAT",0.441064842274347,1
"LCMT1",0.0611205184479215,0.722897032604906
"LCMT2",0.000441319131543993,0.0118703883062992
"LCN2",1.6460559286724e-06,0.000104840891915928
"LCP2",0.00463287735747309,0.0842656307354868
"LDB1",0.0471936531604011,0.581318447865516
"LDHA",0.00569755859302479,0.100351256858389
"LDHB",1.92789141199023e-05,0.000934928064660533
"LDLR",4.28890478727517e-05,0.0018405740126031
"LDLRAP1",0.00193085800269344,0.0404475717697911
"LEFTY1",8.43022986085629e-07,5.86503391918089e-05
"LEMD2",0.00150715855347139,0.0330853848413658
"LENG8",6.77540892723982e-07,4.87306250922541e-05
"LEPROTL1",0.0131620696190198,0.203402939687424
"LETM1",0.0315268045279631,0.416715459124399
"LETMD1",0.0992216284747158,1
"LFNG",0.233742726125721,1
"LGALS1",1.88293824976427e-13,2.00351046877825e-10
"LGALS2",4.91097292409926e-06,0.000271659093254625
"LGALS3",0.00479991802852697,0.0868604600510016
"LGALS3BP",0.00371035957666666,0.0699115975762531
"LGALS4",0.00762376165480061,0.129304282933478
"LGALS8",0.923695207591427,1
"LGALS9",0.398000491634794,1
"LGALS9B",0.0914729958850744,1
"LGALS9C",0.053348986801959,0.646354575874436
"LGMN",0.0168888187388851,0.250776708131475
"LHFPL2",0.0178289477910449,0.262195396018742
"LHPP",0.00998754403541269,0.161448152761893
"LIF",0.0447609389322886,0.556308311399076
"LIG1",0.805943251855556,1
"LIMA1",0.100255385377956,1
"LIMD2",0.00177010266108235,0.0374925555833985
"LIMK1",0.86651956954325,1
"LIMK2",5.76249596910827e-05,0.00236790827108269
"LIMS2",0.00240474821807424,0.0485474095917067
"LINC00094",0.983988892638364,1
"LINC00116",0.000497287657351353,0.0131317186233054
"LINC00174",0.00669569375881041,0.115458139138544
"LINC00342",0.000292801860807712,0.00851506382199454
"LINC00511",0.696187967310715,1
"LINC00667",0.0312364152674425,0.414239279051487
"LINC00685",0.115288014181087,1
"LINC00963",0.000133508824034401,0.00457817053914958
"LINC00969",0.0447634239774761,0.556308311399076
"LINC01001",0.00159686491470046,0.0346343138415755
"LINC01089",0.00981901980131838,0.15907937210686
"LINC01304",0.515532651124357,1
"LINC01405",0.00398954954031527,0.0740916668258937
"LINC01578",0.013644777500859,0.209431175846099
"LINC01641",9.4868215505528e-09,1.61208511547537e-06
"LINC01934",0.0455674883873651,0.56456359779798
"LINC02227",0.00166729414618516,0.035754573191657
"LINC02334",0.272027287538621,1
"LINC02532",0.00184108539851191,0.038769056283729
"LIPH",0.00065551145265319,0.0164812419667101
"LITAF",7.02933788634397e-05,0.00280685951957413
"LIX1L",0.00153260918954001,0.0335017800117083
"LLGL2",0.0575968482931631,0.687446157605705
"LLPH",0.00490004321052306,0.0884579046934218
"LMAN1",0.00358569767691497,0.0682020788704739
"LMAN2",0.000781403202895659,0.0190107247494526
"LMAN2L",0.200070844192208,1
"LMBR1L",0.165746304036412,1
"LMBRD1",0.140756114546318,1
"LMCD1",0.0259417196099636,0.355895983325963
